Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
TEL,"Te Connectivity Ltd",99.56,0.61,+0.62%,99.66,97.78,741436,"13:36 ET"
TFC,"Truist Financial Corp.",55.96,-0.38,-0.67%,56.21,55.24,2180091,"13:36 ET"
TFX,"Teleflex Inc",383.11,-3.24,-0.84%,386.25,381.92,50294,"13:36 ET"
TGT,"Target Corp",114.87,0.97,+0.85%,115.03,113.1,2481414,"13:36 ET"
TIF,"Tiffany & Company",134.18,0.13,+0.10%,134.2,134.02,403487,"13:36 ET"
TJX,"TJX Companies",62.07,-0.36,-0.58%,62.43,61.93,1393471,"13:36 ET"
TMO,"Thermo Fisher Scientific Inc",334.39,-5.66,-1.66%,339.89,332.87,511549,"13:36 ET"
TMUS,"T-Mobile US",82.19,-0.29000000000001,-0.35%,82.36,81.95,739249,"13:36 ET"
TPR,"Tapestry Inc",27.79,0.14,+0.51%,27.79,27.02,1378437,"13:36 ET"
TROW,"T Rowe Price Group",132.1,-0.47,-0.35%,132.1,130.64,422885,"13:36 ET"
TRV,"The Travelers Companies Inc",134,-7.34,-5.19%,138,133.48,2214679,"13:36 ET"
TSCO,"Tractor Supply Company",93.15,0.28,+0.30%,93.32,91.46,509344,"13:36 ET"
TSN,"Tyson Foods",87.63,0.019999999999996,+0.02%,87.67,86.15,1367897,"13:36 ET"
TTWO,"Take-Two Interacti",129.36,-0.75,-0.58%,130.87,129.16,330278,"13:36 ET"
TWTR,"Twitter Inc",33.81,-0.21,-0.62%,34.36,33.72,6212276,"13:36 ET"
TXN,"Texas Instruments",133.09,-0.25,-0.19%,133.49,129.65,4862984,"13:36 ET"
TXT,"Textron Inc",44.84,0.26000000000001,+0.58%,44.94,43.72,929038,"13:36 ET"
UA,"Under Armour Inc Cl C",18.74,0.43,+2.35%,18.74,17.98,892380,"13:36 ET"
UAA,"Under Armour",21.12,0.6,+2.92%,21.12,20.14,2445698,"13:36 ET"
UAL,"United Continental Holdings",84.33,0.98999999999999,+1.19%,84.52,81.06,3527040,"13:36 ET"
UDR,"United Dominion Realty Trust",47.97,0.18,+0.38%,48.03,47.6,229585,"13:36 ET"
UHS,"Universal Health Services",146.58,1,+0.69%,146.58,144.7,137346,"13:36 ET"
ULTA,"Ulta Beauty Inc",269.78,-4.14,-1.51%,274.39,268.93,571637,"13:36 ET"
UNH,"Unitedhealth Group Inc",297.9,-2.69,-0.89%,300.58,296.65,1175958,"13:36 ET"
UNM,"Unumprovident Corp",28.45,-0.22,-0.77%,28.51,27.8,797623,"13:36 ET"
UNP,"Union Pacific Corp",186.43,5.5,+3.04%,187.16,180.93,2833418,"13:36 ET"
UPS,"United Parcel Service",116.3,-0.96000000000001,-0.82%,117.12,115.55,1178155,"13:36 ET"
URI,"United Rentals",152.45,-2.82,-1.82%,153.94,150.84,632756,"13:36 ET"
USB,"U.S. Bancorp",54.65,-0.29,-0.53%,54.94,54.35,3775016,"13:36 ET"
UTX,"United Technologies Corp",153.65,-0.13999999999999,-0.09%,154,152.59,1742392,"13:36 ET"
V,"Visa Inc",206.36,-1.54,-0.74%,208.4,205.3,3891823,"13:36 ET"
VAR,"Varian Medical Systems",148.99,-0.57999999999998,-0.39%,149.6,147.66,327361,"13:36 ET"
VFC,"V.F. Corp",85.36,-9.21,-9.74%,88.75,84.88,5369496,"13:36 ET"
VIAC,"Viacomcbs Inc. Cl B",37.06,-1.39,-3.62%,38.27,37.03,4948063,"13:36 ET"
VLO,"Valero Energy Corp",89.2,-0.42,-0.47%,89.5,86.95,1574067,"13:36 ET"
VMC,"Vulcan Materials Company",141.82,0.12,+0.08%,142.21,140.13,207474,"13:36 ET"
VNO,"Vornado Realty Trust",67.81,0.19,+0.28%,68.05,67.41,214468,"13:36 ET"
VRSK,"Verisk Analytics Inc",164.28,0.69,+0.42%,164.64,162.18,258996,"13:34 ET"
VRSN,"Verisign Inc",214.24,0.15000000000001,+0.07%,215,213.59,105654,"13:36 ET"
VRTX,"Vertex Pharmaceutic",234.61,0,0.00%,235.63,231.38,384295,"13:36 ET"
VTR,"Ventas Inc",58.47,0.19,+0.33%,58.91,58.05,906723,"13:36 ET"
VZ,"Verizon Communications Inc",60.24,-0.23999999999999,-0.40%,60.45,60,4500174,"13:36 ET"
WAB,"Wabtec Corp",79.75,0.64,+0.81%,79.94,77.89,526622,"13:36 ET"
WAT,"Waters Corp",239.35,-4.74,-1.94%,243.68,239.17,186832,"13:36 ET"
WBA,"Walgreens Boots Alliance",53.29,-0.13,-0.24%,53.36,52.81,1902703,"13:36 ET"
WCG,"Wellcare Group",346.29,1.04,+0.30%,346.82,339.88,358964,"13:36 ET"
WDC,"Western Digital Cp",70.94,2.3,+3.35%,72,68.64,4928611,"13:36 ET"
WEC,"Wisconsin Energy Corp",98.42,0.19,+0.19%,98.92,98.06,478908,"13:36 ET"
WELL,"Welltower Inc",86.78,0.78,+0.91%,87.01,85.79,760821,"13:36 ET"
WFC,"Wells Fargo & Company",48.26,-0.3,-0.62%,48.44,47.98,8735190,"13:36 ET"
WHR,"Whirlpool Corp",150.13,3.44,+2.35%,150.55,144.32,433735,"13:36 ET"
WLTW,"Willis Towers WT",205.92,2.17,+1.07%,206.3,202.59,336079,"13:36 ET"
WM,"Waste Management",120.8,0.48,+0.40%,121.08,119.58,530389,"13:36 ET"
WMB,"Williams Companies",22.53,-0.11,-0.49%,22.61,22.42,9853462,"13:36 ET"
WMT,"Wal-Mart Stores",115.25,-0.84999999999999,-0.73%,116.31,115.04,1994023,"13:36 ET"
WRB,"W.R. Berkley Corp",71.06,-0.17999999999999,-0.25%,71.26,70.19,222816,"13:36 ET"
WRK,"Westrock Company",41.87,0.21,+0.50%,41.91,40.77,892341,"13:36 ET"
WU,"Western Union Company",27.56,-0.02,-0.07%,27.57,27.25,1882783,"13:36 ET"
WY,"Weyerhaeuser Company",30.67,0.18,+0.59%,30.7,30.26,691734,"13:36 ET"
WYNN,"Wynn Resorts Ltd",138.75,-1.34,-0.96%,139.99,133.5,3515427,"13:36 ET"
XEC,"Cimarex Energy Company",47.73,-0.78,-1.61%,48.09,46.57,1187506,"13:36 ET"
XEL,"XCEL Energy Inc",66.46,0.25,+0.38%,66.69,66.12,549470,"13:36 ET"
XLNX,"Xilinx Inc",101.21,-0.080000000000013,-0.08%,101.58,99.5,1489588,"13:36 ET"
XOM,"Exxon Mobil Corp",66.57,-0.62,-0.92%,66.71,66.05,11232553,"13:36 ET"
XRAY,"Dentsply Sirona Inc",59.38,-1.33,-2.19%,60.64,59.19,380695,"13:36 ET"
XRX,"Xerox Corp",36.27,-0.049999999999997,-0.14%,36.32,35.75,616988,"13:36 ET"
XYL,"Xylem Inc",82.06,-0.14999999999999,-0.18%,82.19,81.33,583416,"13:36 ET"
YUM,"Yum! Brands",105.77,-0.72,-0.68%,106.08,105.12,871745,"13:51 ET"
ZBH,"Zimmer Biomet Holdings",149.78,-1.2,-0.79%,150.95,149.22,295240,"13:51 ET"
ZBRA,"Zebra Technologies",255.11,1.36,+0.54%,256.13,251.49,173328,"13:49 ET"
ZION,"Zions Bancorp",47.82,-0.020000000000003,-0.04%,47.87,47.25,1342255,"13:51 ET"
ZTS,"Zoetis Inc Cl A",138.1,-3.4,-2.40%,141.77,137.52,903980,"13:51 ET"
"Downloaded from Barchart.com as of 01-23-2020 12:51pm CST"
