Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
DGX,"Quest Diagnostics Inc",107.7,-0.84,-0.77%,108.45,107.12,208983,"13:50 ET"
DHI,"D.R. Horton",58.64,1.22,+2.12%,58.71,57.42,2247710,"13:51 ET"
DHR,"Danaher Corp",163.12,-0.65000000000001,-0.40%,164.03,162.41,803130,"13:51 ET"
DIS,"Walt Disney Company",141.96,-2.05,-1.42%,144.12,140.65,6319435,"13:51 ET"
DISCA,"Discovery Comm A",30.66,-1.37,-4.28%,32.03,30.57,3638600,"13:51 ET"
DISCK,"Discovery Comm Inc",28.91,-1.18,-3.92%,30,28.82,2444197,"13:51 ET"
DISH,"Dish Network Corp",36.68,-0.07,-0.19%,36.78,36.26,682915,"13:51 ET"
DLR,"Digital Realty Trust",126.87,0.59,+0.47%,127.52,126.05,573079,"13:51 ET"
DLTR,"Dollar Tree Inc",88.34,-1.53,-1.70%,89.55,88.18,1491589,"13:50 ET"
DOV,"Dover Corp",117.83,-0.040000000000006,-0.03%,117.86,116.77,289901,"13:51 ET"
DOW,"Dow Inc",50.45,-0.41999999999999,-0.83%,50.75,49.15,2178780,"13:51 ET"
DRE,"Duke Realty Corp",35.78,0.17,+0.48%,35.83,35.4,808852,"13:50 ET"
DRI,"Darden Restaurants",116.96,1.98,+1.72%,117.08,114.7,527747,"13:50 ET"
DTE,"Dte Energy Company",133.57,0.94999999999999,+0.72%,133.58,132.35,456346,"13:51 ET"
DUK,"Duke Energy Corp",95.69,0.38,+0.40%,95.92,95.22,803784,"13:51 ET"
DVA,"Davita Healthcare Partners Inc",80.44,-0.11,-0.14%,80.52,79.15,359813,"13:51 ET"
DVN,"Devon Energy Corp",24.39,0.09,+0.37%,24.49,23.6,3041066,"13:51 ET"
DXC,"Dxc Technology Company",35.45,0.12,+0.34%,35.48,34.59,788213,"13:51 ET"
EA,"Electronic Arts Inc",113.49,0.39999999999999,+0.35%,113.73,112,626662,"13:51 ET"
EBAY,"Ebay Inc",35.69,-0.2,-0.56%,35.98,35.54,2739667,"13:51 ET"
ECL,"Ecolab Inc",197.69,1.29,+0.66%,198.3,195.74,635245,"13:51 ET"
ED,"Consolidated Edison Company of New York",92.21,1.05,+1.15%,92.21,91.2,488278,"13:51 ET"
EFX,"Equifax Inc",154.76,0.0099999999999909,+0.01%,154.84,152.63,148254,"13:50 ET"
EIX,"Edison International",77.41,0.34,+0.44%,77.49,76.84,455977,"13:51 ET"
EL,"Estee Lauder Companies",208.51,-4.13,-1.94%,211.58,206.71,1544716,"13:51 ET"
EMN,"Eastman Chemical Company",73.74,0.19999999999999,+0.27%,73.86,71.62,664148,"13:51 ET"
EMR,"Emerson Electric Company",77.22,0.2,+0.26%,77.25,76.03,638655,"13:51 ET"
EOG,"Eog Resources",81.54,-1.55,-1.87%,82.24,80.65,1711093,"13:51 ET"
EQIX,"Equinix Inc",596.8,5.13,+0.87%,603.7,592.56,152753,"13:51 ET"
EQR,"Equity Residential",82.7,0.31,+0.38%,82.82,82.05,501327,"13:50 ET"
ES,"Eversource Energy",90.8,0.84999999999999,+0.94%,90.81,89.92,440259,"13:51 ET"
ESS,"Essex Property Trust",312.2,2.35,+0.76%,312.32,307.41,178681,"13:49 ET"
ETFC,"E*Trade Finl Corp",45.98,-0.52,-1.12%,46.15,45.17,1039548,"13:51 ET"
ETN,"Eaton Corp",97.06,-0.099999999999994,-0.10%,97.08,95.41,1459235,"13:51 ET"
ETR,"Entergy Corp",129.15,1.26,+0.99%,129.18,127.57,498910,"13:51 ET"
EVRG,"Evergy Inc",69.94,0.83,+1.20%,69.96,68.97,977713,"13:51 ET"
EW,"Edwards Lifesciences Corp",230.51,-12.48,-5.14%,242.4,228.5,1848406,"13:51 ET"
EXC,"Exelon Corp",47.7,0.040000000000006,+0.08%,47.83,47.44,1827898,"13:50 ET"
EXPD,"Expeditors Intl",73.36,-0.3,-0.41%,73.66,72.59,354739,"13:51 ET"
EXPE,"Expedia Group Inc",113.45,3.42,+3.11%,114.09,109.05,1894758,"13:51 ET"
EXR,"Extra Space Storage Inc",110.19,0.48,+0.44%,110.73,109.4,340719,"13:49 ET"
F,"Ford Motor Company",9.09,-0.07,-0.76%,9.16,8.93,34235811,"13:49 ET"
FANG,"Diamondback Energy",84.13,-1.36,-1.59%,86.18,83.01,1039888,"13:51 ET"
FAST,"Fastenal Company",35.8,-0.13,-0.36%,35.88,35.29,1366622,"13:51 ET"
FB,"Facebook Inc",220.21,-1.11,-0.50%,221.49,219.37,5251835,"13:51 ET"
FBHS,"Fortune Brands Home & Security",70.39,0.41,+0.59%,70.51,69.43,327661,"13:50 ET"
FCX,"Freeport-Mcmoran Inc",11.69,-0.63,-5.11%,12.29,11.22,34184842,"13:51 ET"
FDX,"Fedex Corp",154.25,-1.29,-0.83%,155.34,152.73,1009589,"13:51 ET"
FE,"Firstenergy Corp",50,0.11,+0.22%,50.2,49.76,1602981,"13:51 ET"
FFIV,"F5 Networks Inc",133.88,1.6,+1.21%,134.03,131.98,542420,"13:50 ET"
FIS,"Fidelity National Information Services",149.27,0.68000000000001,+0.46%,149.38,147.88,760786,"13:51 ET"
FISV,"Fiserv Inc",122.22,0.17,+0.14%,122.51,121.04,679431,"13:51 ET"
FITB,"Fifth Third Bncp",29.25,-0.09,-0.31%,29.26,28.59,2572656,"13:51 ET"
FLIR,"Flir Systems Inc",54.77,0.48,+0.88%,54.78,53.85,211076,"13:47 ET"
FLS,"Flowserve Corp",48.59,-0.049999999999997,-0.10%,48.59,47.56,168264,"13:50 ET"
FLT,"Fleetcor Technologies",316.07,-2.23,-0.70%,318.95,314.85,322596,"13:51 ET"
FMC,"FMC Corp",96.66,-0.94,-0.96%,97.28,94.86,494937,"13:50 ET"
FOX,"Fox Corp Cl B",36.83,-1.57,-4.09%,38.13,36.7,978344,"13:51 ET"
FOXA,"Fox Corp Cl A",37.47,-1.61,-4.12%,39.1,37.34,2779928,"13:51 ET"
FRC,"First Republic Bank",116.51,-0.83,-0.71%,117.33,115.91,514868,"13:51 ET"
FRT,"Federal Realty Investment Trust",130.4,-0.18000000000001,-0.14%,131.12,130.13,108071,"13:50 ET"
FTI,"Technipfmc Plc",18.34,-0.32,-1.71%,18.49,18.17,1698975,"13:50 ET"
FTNT,"Fortinet Inc",118.37,0.55000000000001,+0.47%,118.97,117.24,332952,"13:51 ET"
FTV,"Fortive Corp",77.56,-0.099999999999994,-0.13%,77.63,76.81,255260,"13:50 ET"
GD,"General Dynamics Corp",185.07,1.97,+1.08%,185.11,182.05,404374,"13:51 ET"
GE,"General Electric Company",11.7,0.33,+2.90%,11.8,11.6,37435175,"13:51 ET"
GILD,"Gilead Sciences Inc",63.67,0.24,+0.38%,63.75,62.74,5616895,"13:51 ET"
GIS,"General Mills",54.37,0.39,+0.72%,54.37,53.8,1127007,"13:51 ET"
GL,"Globe Life Inc",104.51,0.85000000000001,+0.82%,104.51,102.79,138701,"13:51 ET"
GLW,"Corning Inc",29.39,-0.26,-0.88%,29.41,29.08,2338971,"13:51 ET"
GM,"General Motors Company",34.72,-0.19,-0.54%,34.84,34.01,4488056,"13:51 ET"
GOOG,"Alphabet Cl C",1489.93,3.98,+0.27%,1495.52,1482.1,548357,"13:50 ET"
GOOGL,"Alphabet Cl A",1487.96,3.79,+0.26%,1493.53,1480.32,662093,"13:50 ET"
GPC,"Genuine Parts Company",99.94,-0.27,-0.27%,99.95,98.9,174147,"13:51 ET"
GPN,"Global Payments Inc",199.19,-0.87,-0.43%,200.35,198.46,577520,"13:51 ET"
GPS,"Gap Inc",17.77,-0.19,-1.06%,17.9,17.5,1541135,"13:51 ET"
GRMN,"Garmin Ltd",100.47,0.25,+0.25%,100.48,99.64,142276,"13:49 ET"
GS,"Goldman Sachs Group",246.4,-0.65000000000001,-0.26%,246.4,242.88,1796659,"13:51 ET"
GWW,"W.W. Grainger",329.05,-2.02,-0.61%,330.75,324.82,105865,"13:47 ET"
HAL,"Halliburton Company",23.52,-0.41,-1.71%,23.68,23.16,8199939,"13:51 ET"
HAS,"Hasbro Inc",105.6,-0.18000000000001,-0.17%,106.01,104.3,316034,"13:50 ET"
HBAN,"Huntington Bcshs",14.19,-0.54,-3.67%,14.72,13.93,15567745,"13:51 ET"
HBI,"Hanesbrands Inc",14.34,0.0099999999999998,+0.07%,14.38,13.89,2426126,"13:50 ET"
HCA,"Hca Holdings Inc",146.59,-0.54999999999998,-0.37%,147.3,145.55,376129,"13:51 ET"
HD,"Home Depot",233.25,0.34999999999999,+0.15%,233.7,230.64,1679826,"13:51 ET"
HES,"Hess Corp",66.49,-0.71000000000001,-1.06%,66.78,64.7,905168,"13:51 ET"
HFC,"Hollyfrontier Corp",46.62,0.12,+0.26%,46.64,45.57,1022764,"13:51 ET"
HIG,"Hartford Financial Services Group",58.81,-1.09,-1.82%,59.31,58.38,1014586,"13:51 ET"
HII,"Huntington Ingalls Industries",276.15,0.40999999999997,+0.15%,277,274.14,59697,"13:50 ET"
HLT,"Hilton Inc",110.86,0.010000000000005,+0.01%,110.86,107.65,665997,"13:50 ET"
HOG,"Harley-Davidson Inc",35.05,-0.12,-0.34%,35.3,34.52,744240,"13:51 ET"
HOLX,"Hologic Inc",53.9,-0.34,-0.63%,54.3,53.68,610119,"13:51 ET"
HON,"Honeywell International Inc",179.93,-0.12,-0.07%,180.54,179.03,772720,"13:51 ET"
HP,"Helmerich & Payne",42.32,-0.64,-1.49%,42.46,41.57,858914,"13:51 ET"
HPE,"Hewlett Packard Enterprise Comp",15.11,0.08,+0.53%,15.14,14.79,3051821,"13:51 ET"
HPQ,"Hp Inc",22.12,0.19,+0.87%,22.17,21.87,5827908,"13:51 ET"
HRB,"H&R Block",24.42,0.16,+0.66%,24.43,24.05,1424764,"13:46 ET"
HRL,"Hormel Foods Corp",47.02,0.45,+0.97%,47.06,46.37,1161102,"13:51 ET"
HSIC,"Henry Schein Inc",70.85,0.11,+0.16%,70.87,70.3,282761,"13:50 ET"
HST,"Host Marriott Financial Trust",17.32,-0.2,-1.14%,17.51,17.27,3345050,"13:51 ET"
HSY,"Hershey Foods Corp",154.33,1.89,+1.24%,154.33,152,260452,"13:50 ET"
HUM,"Humana Inc",364.62,-1.1,-0.30%,367.68,362.77,271929,"13:51 ET"
IBM,"International Business Machines",143.04,-0.84999999999999,-0.59%,144.41,142.15,2917347,"13:51 ET"
ICE,"Intercontinental Exchange",96.99,0.55999999999999,+0.58%,96.99,96.01,899985,"13:51 ET"
IDXX,"Idexx Laboratories",284.58,-3.04,-1.06%,287.98,283.45,187027,"13:50 ET"
IEX,"Idex Corp",172.36,-0.63999999999999,-0.37%,172.97,171.54,181381,"13:49 ET"
IFF,"International Flavors & Fragrances",135.35,-0.55000000000001,-0.40%,136.96,133.86,431587,"13:51 ET"
ILMN,"Illumina Inc",328.27,-2.73,-0.82%,330.61,327.01,625978,"13:50 ET"
INCY,"Incyte Corp",78.38,-0.10000000000001,-0.13%,78.9,77.45,565806,"13:48 ET"
INFO,"IHS Markit Ltd",80.47,-0.22,-0.27%,80.7,79.82,773252,"13:51 ET"
INTC,"Intel Corp",63.44,0.71,+1.13%,63.68,62.64,17374445,"13:51 ET"
INTU,"Intuit Inc",290.12,-0.39999999999998,-0.14%,292.67,288.9,750743,"13:51 ET"
IP,"International Paper Company",44.69,0.18,+0.40%,44.69,43.79,635447,"13:51 ET"
IPG,"Interpublic Group of Companies",23.49,-0.21,-0.89%,23.67,23.29,555077,"13:51 ET"
IPGP,"Ipg Photonics Corp",146.3,0.21000000000001,+0.14%,146.91,143.96,123113,"13:50 ET"
IQV,"Iqvia Holdings Inc",160.34,-0.16,-0.10%,160.78,159.29,229878,"13:51 ET"
IR,"Ingersoll-Rand Plc [Ireland]",131.67,0.030000000000001,+0.02%,131.99,130.48,513674,"13:51 ET"
IRM,"Iron Mountain Inc",31.87,0.11,+0.35%,31.92,31.56,589802,"13:36 ET"
ISRG,"Intuitive Surg Inc",611.02,0.77999999999997,+0.13%,614.9,606.59,390972,"13:36 ET"
IT,"Gartner Inc",160.98,0.049999999999983,+0.03%,161.34,159.74,62815,"13:36 ET"
ITW,"Illinois Tool Works Inc",177.69,0.18000000000001,+0.10%,177.95,175.05,666154,"13:36 ET"
IVZ,"Invesco Plc",18.36,-0.15,-0.81%,18.4,18.1,1360624,"13:36 ET"
J,"Jacobs Engineering Group Inc",95.5,0.65000000000001,+0.69%,95.51,93.84,307466,"13:36 ET"
JBHT,"J B Hunt Transport",115.32,0.92999999999999,+0.81%,115.39,113.91,422265,"13:36 ET"
JCI,"Johnson Controls Intl",41.53,0.16,+0.39%,41.61,41.19,1837042,"13:36 ET"
JKHY,"Jack Henry & Assoc",150.26,0.62,+0.41%,150.26,148.84,94538,"13:36 ET"
JNJ,"Johnson & Johnson",147.59,-0.66,-0.45%,148.13,146.76,2971169,"13:36 ET"
JNPR,"Juniper Networks",24.5,0.079999999999998,+0.33%,24.58,24.09,672740,"13:36 ET"
JPM,"JP Morgan Chase & Company",136.12,-0.56,-0.41%,136.23,134.72,5246505,"13:36 ET"
JWN,Nordstrom,39.25,-0.63,-1.58%,39.65,38.88,1128494,"13:36 ET"
K,"Kellogg Company",70.68,0.42,+0.60%,70.73,69.69,518580,"13:36 ET"
KEY,Keycorp,19.7,0.079999999999998,+0.41%,20.07,19.38,8380460,"13:36 ET"
KEYS,"Keysight Technologies Inc Comm",103.33,-2.18,-2.07%,106.82,103.11,888586,"13:36 ET"
KHC,"Kraft Heinz Company",30.58,-0.090000000000003,-0.29%,30.67,30.34,2186726,"13:36 ET"
KIM,"Kimco Realty Corp",20.34,0,0.00%,20.46,20.24,1068093,"13:36 ET"
KLAC,"K L A-Tencor Corp",181.18,1.05,+0.58%,181.53,179.12,476446,"13:36 ET"
KMB,"Kimberly-Clark Corp",143.6,-0.78999999999999,-0.55%,149.23,138.3,2042333,"13:36 ET"
KMI,"Kinder Morgan",21.73,0.77,+3.67%,21.88,21.22,17020475,"13:36 ET"
KMX,"Carmax Inc",97.8,0.45,+0.46%,97.94,96.45,294182,"13:36 ET"
KO,"Coca-Cola Company",57.56,-0.049999999999997,-0.09%,57.78,57.24,5212883,"13:36 ET"
KR,"Kroger Company",28.5,0.13,+0.46%,28.54,28.22,1889043,"13:36 ET"
KSS,"Kohl's Corp",46.12,-0.25,-0.54%,46.2,45.62,764022,"13:36 ET"
KSU,"Kansas City Southern",165.14,0.32999999999998,+0.20%,166.09,163.52,560550,"13:36 ET"
L,"Loews Corp",51.24,-0.64,-1.23%,51.74,50.8,264343,"13:36 ET"
LB,"L Brands Inc",20.82,0.84,+4.20%,21.02,20.35,6070080,"13:36 ET"
LDOS,"Leidos Holdings Inc",101.89,-0.58,-0.57%,102.83,101.57,269517,"13:36 ET"
LEG,"Leggett & Platt Inc",50.93,-0.51,-0.99%,51.27,50.26,390381,"13:36 ET"
LEN,"Lennar Corp",67.12,1.48,+2.25%,67.32,65.53,2650611,"13:36 ET"
LH,"Laboratory Corp of America Holdings",179.13,-0.43000000000001,-0.24%,179.29,177.65,151478,"13:36 ET"
LHX,"L3Harris Technologies Inc",222.77,2.86,+1.30%,223.17,219.61,520268,"13:36 ET"
LIN,"Linde Plc",208.89,-2.19,-1.04%,209.02,207.52,661288,"13:36 ET"
LKQ,"LKQ Corp",34.14,0.22,+0.65%,34.22,33.52,469525,"13:36 ET"
LLY,"Eli Lilly and Company",140.5,-1.06,-0.75%,141.74,139.88,1123412,"13:36 ET"
LMT,"Lockheed Martin Corp",427.55,3.13,+0.74%,428.27,424,413242,"13:36 ET"
LNC,"Lincoln National Corp",57.91,-0.81,-1.38%,58.23,57.21,601974,"13:36 ET"
LNT,"Alliant Energy Corp",58.06,0.31,+0.54%,58.22,57.67,418749,"13:36 ET"
LOW,"Lowe's Companies",122.52,0.61,+0.50%,123.14,121.05,1390389,"13:36 ET"
LRCX,"Lam Research Corp",309.79,-1.55,-0.50%,312.5,307.55,790488,"13:36 ET"
LUV,"Southwest Airlines Company",55.03,1.55,+2.90%,55.03,51.85,3970267,"13:36 ET"
LVS,"Las Vegas Sands",69.16,-0.29000000000001,-0.42%,69.35,67.47,5200493,"13:36 ET"
LW,"Lamb Weston Holdings Inc",90.96,-0.23,-0.25%,91.31,90.65,378234,"13:36 ET"
LYB,"Lyondellbasell Industries NV",85.29,-1.35,-1.56%,86.51,83.97,1894180,"13:36 ET"
LYV,"Live Nation Entertainment",74.19,-0.46000000000001,-0.62%,74.74,73.87,307433,"13:36 ET"
M,"Macy's Inc",17.03,-0.12,-0.70%,17.12,16.68,4064221,"13:36 ET"
MA,"Mastercard Inc",322.96,-1.35,-0.42%,325.25,322.32,1712848,"13:36 ET"
MAA,"Mid-America Apartment Communities",135.98,1.05,+0.78%,136.24,134.5,118981,"13:36 ET"
MAR,"Marriot Int Cl A",143.84,-0.28,-0.19%,144.48,141.25,1071356,"13:36 ET"
MAS,"Masco Corp",49.22,-0.07,-0.14%,49.42,48.84,941552,"13:36 ET"
MCD,"McDonald's Corp",212.99,1.55,+0.73%,213.21,208.62,1623684,"13:36 ET"
MCHP,"Microchip Technology",109.92,0.58,+0.53%,110.13,108.46,843442,"13:36 ET"
MCK,"Mckesson Corp",155.26,-0.48000000000002,-0.31%,155.33,152.54,573769,"13:36 ET"
MCO,"Moody's Corp",256.89,-0.58000000000004,-0.23%,258.51,255.35,253302,"13:36 ET"
MDLZ,"Mondelez Intl Inc",55.44,-0.020000000000003,-0.04%,55.65,55.1,2900286,"13:36 ET"
MDT,"Medtronic Inc",120.39,-0.7,-0.58%,121.29,119.64,1546153,"13:36 ET"
MET,"Metlife Inc",51.62,-0.28,-0.54%,51.78,51.01,1387408,"13:36 ET"
MGM,"MGM Resorts International",32.15,0.2,+0.63%,32.17,31.15,4179319,"13:36 ET"
MHK,"Mohawk Industries",142.11,0.92000000000002,+0.65%,142.29,139.71,390453,"13:36 ET"
MKC,"Mccormick & Company Inc",171.74,-0.78999999999999,-0.46%,171.91,170.71,351290,"13:36 ET"
MKTX,"Marketaxess Holdings",367.54,-2.86,-0.77%,370.43,364.88,68717,"13:36 ET"
MLM,"Martin Marietta Materials",265.37,0.13999999999999,+0.05%,266.99,262.42,170419,"13:36 ET"
MMC,"Marsh & Mclennan Companies",113.56,-0.049999999999997,-0.04%,113.82,112.57,532732,"13:36 ET"
MMM,"3M Company",177.6,-0.43000000000001,-0.24%,178.43,176.39,844957,"13:36 ET"
MNST,"Monster Beverage Cp",67.79,0.33000000000001,+0.49%,67.95,67.15,970794,"13:36 ET"
MO,"Altria Group",50.57,-0.46,-0.90%,51.04,50.39,2375094,"13:36 ET"
MOS,"Mosaic Company",19.91,-0.12,-0.60%,19.93,19.21,2073976,"13:36 ET"
MPC,"Marathon Petroleum Corp",55.59,-0.38,-0.68%,55.84,53.95,2545192,"13:36 ET"
MRK,"Merck & Company",88.46,-1.19,-1.33%,89.66,88.26,4139906,"13:36 ET"
MRO,"Marathon Oil Corp",12.22,-0.23,-1.85%,12.25,11.96,6153323,"13:36 ET"
MS,"Morgan Stanley",55.57,-0.29,-0.52%,55.63,54.8,5761722,"13:36 ET"
MSCI,"MSCI Inc",278.4,-0.83000000000004,-0.30%,279.23,276.21,93805,"13:36 ET"
MSFT,"Microsoft Corp",166.02,0.32000000000002,+0.19%,166.62,165.27,8260050,"13:36 ET"
MSI,"Motorola Solutions",176.45,-1.29,-0.73%,178.4,176.32,240381,"13:36 ET"
MTB,"M&T Bank Corp",168.62,6.75,+4.17%,168.95,158.41,980767,"13:36 ET"
MTD,"Mettler-Toledo International",828.03,-6.89,-0.83%,834.47,824.39,31327,"13:36 ET"
MU,"Micron Technology",59.18,0.009999999999998,+0.02%,60.56,59.03,17664575,"13:36 ET"
MXIM,"Maxim Integrated",63.12,0.62,+0.99%,63.24,62.21,1076018,"13:36 ET"
MYL,"Mylan NV Ord Shs",22.09,0.3,+1.38%,22.12,21.39,2065347,"13:36 ET"
NBL,"Noble Energy Inc",22.11,-0.19,-0.85%,22.38,21.71,2125631,"13:36 ET"
NCLH,"Norwegian Cruise Ord",57.77,0.14,+0.24%,57.95,55.92,651118,"13:36 ET"
NDAQ,"Nasdaq Inc",109.22,0.079999999999998,+0.07%,109.25,108.48,133450,"13:36 ET"
NEE,"Nextera Energy",259.74,-0.15999999999997,-0.06%,262.75,259.36,921807,"13:36 ET"
NEM,"Newmont Mining Corp",43.59,-0.19,-0.43%,43.92,43.13,2303072,"13:36 ET"
NFLX,"Netflix Inc",341.52,15.52,+4.76%,345,325.01,11044606,"13:36 ET"
NI,"NiSource Inc",28.94,-0.12,-0.41%,29.19,28.89,1194766,"13:36 ET"
NKE,"Nike Inc",103.01,-1.48,-1.42%,104.37,102.62,2303462,"13:36 ET"
NLOK,"Nortonlifelock Inc.",28.55,0.34,+1.21%,28.58,27.97,2702610,"13:36 ET"
NLSN,"Nielsen Holdings Plc",21.3,0.080000000000002,+0.38%,21.3,20.95,775547,"13:36 ET"
NOC,"Northrop Grumman Corp",378.91,3.59,+0.96%,379.19,374.76,601421,"13:36 ET"
NOV,National-Oilwell,22.66,-0.28,-1.22%,22.76,22.21,748433,"13:36 ET"
NOW,"Servicenow Inc",312.38,-0.47000000000003,-0.15%,316.18,311.49,687936,"13:36 ET"
NRG,"NRG Energy",38.58,-0.1,-0.26%,38.75,38.33,584888,"13:36 ET"
NSC,"Norfolk Southern Corp",206.82,3.68,+1.81%,207.33,201.71,630779,"13:36 ET"
NTAP,"Netapp Inc",60.22,-0.25,-0.41%,60.59,59.08,866569,"13:36 ET"
NTRS,"Northern Trust Corp",103.6,-1.39,-1.32%,104.54,102.25,870261,"13:36 ET"
NUE,"Nucor Corp",51.36,-0.61,-1.17%,51.61,50.7,594047,"13:36 ET"
NVDA,"Nvidia Corp",251.95,1.9,+0.76%,252.46,248.15,3619964,"13:36 ET"
NVR,"NVR Inc",3990,58,+1.48%,3998.3,3930,6122,"13:36 ET"
NWL,"Newell Rubbermaid Inc",20.06,-0.030000000000001,-0.15%,20.06,19.65,782288,"13:36 ET"
NWS,"News Cp Cl B",14.78,-0.0099999999999998,-0.07%,14.78,14.61,126340,"13:36 ET"
NWSA,"News Cp Cl A",14.4,-0.06,-0.41%,14.4,14.24,439194,"13:36 ET"
O,"Realty Income Corp",76.89,0,0.00%,77.59,76.67,487365,"13:36 ET"
ODFL,"Old Dominion Freig",204.45,1.65,+0.81%,204.62,200.97,129015,"13:36 ET"
OKE,"Oneok Inc",75.82,0.22,+0.29%,75.95,74.96,607979,"13:36 ET"
OMC,"Omnicom Group Inc",78.32,-1.15,-1.45%,79.19,77.81,646250,"13:36 ET"
ORCL,"Oracle Corp",54.8,0.079999999999998,+0.15%,54.88,54.28,2459381,"13:36 ET"
ORLY,"O'Reilly Automotive",434.06,-1.65,-0.38%,435.73,430.89,265851,"13:36 ET"
OXY,"Occidental Petroleum Corp",42.47,-0.82,-1.89%,42.74,42.21,6263153,"13:36 ET"
PAYX,"Paychex Inc",89.36,-0.23999999999999,-0.27%,89.78,89.07,463931,"13:36 ET"
PBCT,"People's United Finl",15.98,-0.079999999999998,-0.50%,16.03,15.87,1750464,"13:36 ET"
PCAR,"Paccar Inc",77.1,0.16,+0.21%,77.16,75.69,433446,"13:36 ET"
PEAK,"Healthpeak Properties Inc.",36.93,0.42,+1.15%,37.01,36.33,1116939,"13:36 ET"
PEG,"Public Service Enterprise Group Inc",60.9,0.6,+1.00%,60.97,60.2,1066119,"13:36 ET"
PEP,"Pepsico Inc",142.65,-0.72999999999999,-0.51%,143.85,142.37,1432373,"13:36 ET"
PFE,"Pfizer Inc",40.67,0.48,+1.19%,40.83,40.13,15130209,"13:36 ET"
PFG,"Principal Financial Group Inc",55.17,-0.44,-0.79%,55.36,54.29,378350,"13:36 ET"
PG,"Procter & Gamble Company",123.99,-1.57,-1.25%,126.55,123.65,6424450,"13:36 ET"
PGR,"Progressive Corp",75.98,-0.17999999999999,-0.24%,76.04,75.23,587569,"13:36 ET"
PH,"Parker-Hannifin Corp",199.43,0.69,+0.35%,199.88,195.62,627660,"13:36 ET"
